Blank1,Blank2,Cab Number,Lat,Long,All counties,Fibre Services Live,Fibre Build Commenced,Fibre Services Planned,cab message
,,LEX1_022,53.369239,-6.49689,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_023,53.370686,-6.504625,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_024,53.363651,-6.516745,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_025,53.364139,-6.523308,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_026,53.362369,-6.523198,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_027,53.364403,-6.510847,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_E01,53.36458,-6.49736,,1,,,Fibre Broadband Cabinet is planned for this location
,,LGA1_001,53.199898,-8.574321,,3,,,Fibre Broadband Cabinet is Live 
,,LGA1_002,53.200284,-8.561104,,3,,,Fibre Broadband Cabinet is Live 
,,LGA1_003,53.198461,-8.583663,,3,,,Fibre Broadband Cabinet is Live 
,,LGA1_004,53.201446,-8.58388,,3,,,Fibre Broadband Cabinet is Live 
,,LGA1_005,53.204334,-8.571185,,3,,,Fibre Broadband Cabinet is Live 
,,LGA1_006,53.203761,-8.559964,,3,,,Fibre Broadband Cabinet is Live 
,,LGA1_007,53.195099,-8.556507,,3,,,Fibre Broadband Cabinet is Live 
,,LGA1_008,53.203591,-8.544629,,3,,,Fibre Broadband Cabinet is Live 
,,LGA1_009,53.206388,-8.559624,,3,,,Fibre Broadband Cabinet is Live 
,,LGA1_011,53.204937,-8.582113,,3,,,Fibre Broadband Cabinet is Live 
,,LGA1_E01,53.198655,-8.568773,,1,,,Fibre Broadband Cabinet is planned for this location
,,LGN1_E01,53.822648,-8.559476,,1,,,Fibre Broadband Cabinet is planned for this location
,,LHA1_E01,53.11158,-8.114048,,2,,,Fibre Build commenced - completion work is in progress
,,LHY1_E01,54.619101,-8.08748,,1,,,Fibre Broadband Cabinet is planned for this location
,,LIF1_001,54.841527,-7.497994,,1,,,Fibre Broadband Cabinet is planned for this location
,,LIF1_002,54.835481,-7.488701,,1,,,Fibre Broadband Cabinet is planned for this location
,,LIF1_003,54.823235,-7.496434,,1,,,Fibre Broadband Cabinet is planned for this location
,,LIF1_E01,54.834486,-7.482037,,1,,,Fibre Broadband Cabinet is planned for this location
,,LIS1_001,52.447782,-9.478037,,3,,,Fibre Broadband Cabinet is Live 
,,LIS1_002,52.449519,-9.486171,,3,,,Fibre Broadband Cabinet is Live 
,,LIS1_003,52.451546,-9.488339,,3,,,Fibre Broadband Cabinet is Live 
,,LIS1_004,52.448328,-9.462566,,3,,,Fibre Broadband Cabinet is Live 
,,LIS1_005,52.444797,-9.48499,,3,,,Fibre Broadband Cabinet is Live 
,,LIS1_006,52.446189,-9.502548,,3,,,Fibre Broadband Cabinet is Live 
,,LIS1_007,52.439913,-9.480395,,3,,,Fibre Broadband Cabinet is Live 
,,LIS1_008,52.449971,-9.477169,,3,,,Fibre Broadband Cabinet is Live 
,,LIS1_009,52.443102,-9.482353,,3,,,Fibre Broadband Cabinet is Live 
,,LIS1_010,52.448564,-9.464781,,3,,,Fibre Broadband Cabinet is Live 
,,LIS1_011,52.451837,-9.473457,,3,,,Fibre Broadband Cabinet is Live 
,,LIS1_012,52.457366,-9.490198,,3,,,Fibre Broadband Cabinet is Live 
,,LIS1_013,52.454404,-9.507524,,3,,,Fibre Broadband Cabinet is Live 
,,LIS1_E01,52.44751,-9.49149,,1,,,Fibre Broadband Cabinet is planned for this location
,,LKD1_001,52.648002,-8.633922,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_002,52.644126,-8.646033,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_003,52.655631,-8.648387,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_004,52.639364,-8.652068,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_005,52.641874,-8.647805,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_006,52.627339,-8.66235,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_007,52.632043,-8.658063,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_008,52.629663,-8.660643,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_009,52.63248,-8.659907,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_010,52.611947,-8.640063,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_011,52.637054,-8.654436,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_012,52.639335,-8.652159,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_013,52.631927,-8.668187,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_014,52.63688,-8.663996,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_015,52.63118,-8.643964,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_016,52.624802,-8.652731,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_017,52.651238,-8.641988,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_018,52.637102,-8.644007,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_019,52.62987,-8.64405,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_020,52.623937,-8.651517,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_021,52.619805,-8.658755,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_022,52.652718,-8.646217,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_024,52.634432,-8.668078,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_025,52.648571,-8.66375,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_026,52.653531,-8.655511,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_027,52.620254,-8.647039,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_028,52.636879,-8.645942,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_029,52.623299,-8.646535,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_030,52.628809,-8.667322,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_031,52.647584,-8.643905,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_032,52.626897,-8.642441,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_035,52.618222,-8.668915,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_037,52.632627,-8.632532,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_038,52.637928,-8.63803,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_039,52.622136,-8.672432,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_040,52.643727,-8.675442,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_041,52.638343,-8.674008,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_072,52.639827,-8.644005,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_074,52.65552,-8.651253,,3,,,Fibre Broadband Cabinet is Live 
,,LKD1_E01,52.62887,-8.65168,,2,,,Fibre Build commenced - completion work is in progress
,,LKR1_E01,53.553068,-9.946944,,1,,,Fibre Broadband Cabinet is planned for this location
,,LKY1_001,54.957304,-7.748278,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_002,54.954468,-7.745858,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_003,54.954282,-7.737976,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_004,54.977997,-7.727679,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_005,54.958549,-7.7372,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_006,54.958482,-7.733139,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_007,54.977265,-7.676944,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_008,54.957968,-7.703415,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_009,54.959397,-7.709697,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_010,54.956566,-7.717403,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_011,54.943551,-7.697121,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_012,54.94449,-7.740997,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_013,54.946487,-7.740883,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_014,54.948991,-7.734397,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_015,54.960427,-7.721195,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_016,54.941041,-7.73872,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_017,54.957016,-7.752478,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_018,54.95234,-7.730462,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_019,54.962622,-7.742318,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_020,54.967327,-7.729108,,3,,,Fibre Broadband Cabinet is Live 
,,LKY1_021,54.965949,-7.698468,,3,,,Fibre Broadband Cabinet is Live 
